GW,fold,n,mae_model,mae_naive
6,6,743,0.9702250779395347,1.013362255076069
7,6,744,0.9521517576895626,1.0472367690692472
8,6,746,1.0442207962945322,1.0852339916840286
9,6,747,0.9792451123046569,1.0435922253594656
10,6,747,0.9381956551864707,1.0267960959304516
11,11,752,1.0111410799622276,1.0982588841274243
12,11,755,0.976531328140327,1.0675153317731791
13,11,755,0.9980267597418038,1.0824021747200556
14,11,758,1.021291658607168,1.1042612138781993
15,11,759,1.0276728601034097,1.0281511960143743
16,16,760,1.0256665279585713,1.1095579879671253
17,16,770,1.013689550629394,1.119462256944156
18,16,775,0.9318519228170613,1.1195896351659371
19,16,780,0.9995257498990741,1.1712952669315306
20,16,790,0.9355627331332497,1.118179682590078
21,21,795,0.9026711741099893,1.0158028097351204
22,21,799,0.9663966358205813,1.0649983986533986
23,21,803,0.9878260484019153,1.065018598188102
24,21,811,0.916187561766596,1.0404524480559914
25,21,817,0.8724941601262768,1.0083090039775184
26,26,896,0.9186493479187244,1.0422787918319565
27,26,818,0.8927129400907821,1.0095608327757344
28,26,819,0.9100634866702467,1.0121071572926768
29,26,820,0.9171045256546366,1.0560461058426303
30,26,822,0.9565464531698572,1.0578058704238067
31,31,664,0.8784173262555985,0.996386600662625
32,31,826,0.9137707308022036,0.9990850355667935
33,31,1077,0.8581683014058518,0.9921790128455075
34,31,582,0.8838134100711798,1.0145366722329603
35,31,832,0.8962510528450285,0.9819413129877267
36,36,920,0.895897401983423,1.0127505730241406
37,36,840,0.8799741876688443,0.9579817289240026
38,36,841,0.938572364646922,1.0652065932520296
