GW,fold_trained_before_gw,n_players,mae_model,mae_naive
6,6,742,0.9437716792242499,1.0131748914718628
7,6,743,0.9378153728434083,1.0470951795578003
8,6,744,1.0306979898411484,1.0850534439086914
9,6,746,0.967853295765791,1.0434463024139404
10,6,746,0.9647396004717784,1.0266276597976685
11,11,747,1.0073154604347623,1.0992217063903809
12,11,752,1.0044622878022804,1.0671687126159668
13,11,755,1.0140861954662432,1.0824021100997925
14,11,755,1.0515728302290215,1.10538649559021
15,11,758,0.9967578240584921,1.027984619140625
16,16,759,1.0391273002519832,1.1094954013824463
17,16,760,1.0274963030333324,1.1202832460403442
18,16,770,0.94092001475399,1.1193463802337646
19,16,775,1.0299435415613996,1.1713870763778687
20,16,780,0.9511241051182882,1.1189631223678589
21,21,790,0.9130915150598669,1.013170838356018
22,21,795,0.9746120622604786,1.0649272203445435
23,21,799,1.0034819152691346,1.0658034086227417
24,21,803,0.9446344214603889,1.0375763177871704
25,21,811,0.8960404376329826,1.0034382343292236
26,26,896,0.9264355766467142,1.0422786474227905
27,26,817,0.9098701686990609,1.0093812942504883
28,26,818,0.9060736070519521,1.0119309425354004
29,26,819,0.9420309475883486,1.0559237003326416
30,26,820,0.9686666992326597,1.0575658082962036
31,31,661,0.9036683264472004,0.9956725239753723
32,31,825,0.9395978606721685,0.9988974928855896
33,31,1074,0.8892023480336472,0.9917277693748474
34,31,581,0.9059091797167195,1.0142971277236938
35,31,830,0.9131839353083583,0.9815273880958557
36,36,914,0.9261905950361721,1.0118389129638672
37,36,838,0.8624798598072783,0.9587129354476929
38,36,840,0.9458999870426708,1.0651037693023682
