season,id,name,short_name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
2019-20,1,Arsenal,ARS,4,1180,1240,1170,1170,1150,1200
2019-20,2,Aston Villa,AVL,2,1020,1050,970,980,1000,1040
2019-20,3,Bournemouth,BOU,2,1020,1020,990,1030,1000,1050
2019-20,4,Brighton,BHA,2,1050,1010,1100,1100,1040,1030
2019-20,5,Burnley,BUR,3,1110,1180,1130,1070,970,1110
2019-20,6,Chelsea,CHE,4,1220,1230,1240,1240,1220,1250
2019-20,7,Crystal Palace,CRY,3,1130,1120,1080,1180,1040,1040
2019-20,8,Everton,EVE,3,1100,1240,1100,1210,1170,1180
2019-20,9,Leicester,LEI,3,1210,1160,1150,1080,1210,1100
2019-20,10,Liverpool,LIV,5,1340,1350,1310,1320,1310,1330
2019-20,11,Man City,MCI,5,1330,1340,1260,1270,1320,1320
2019-20,12,Man Utd,MUN,4,1220,1300,1260,1330,1180,1260
2019-20,13,Newcastle,NEW,3,1090,1100,1030,1040,980,990
2019-20,14,Norwich,NOR,2,980,1020,1030,1040,990,990
2019-20,15,Sheffield Utd,SHU,3,1180,1200,1170,1180,1050,1110
2019-20,16,Southampton,SOU,3,1150,1040,1080,1050,1110,1080
2019-20,17,Spurs,TOT,4,1180,1240,1100,1130,1200,1140
2019-20,18,Watford,WAT,3,1030,1140,1120,1120,1020,1150
2019-20,19,West Ham,WHU,2,1040,1030,1000,1030,1030,1150
2019-20,20,Wolves,WOL,4,1230,1190,1180,1230,1200,1200
2020-21,1,Arsenal,ARS,4,1200,1250,1130,1150,1220,1210
2020-21,2,Aston Villa,AVL,3,1100,1160,1120,1140,1080,1100
2020-21,3,Brighton,BHA,3,1130,1130,1150,1190,1100,1130
2020-21,4,Burnley,BUR,2,1060,1070,1040,1090,1040,1080
2020-21,5,Chelsea,CHE,4,1250,1280,1260,1300,1250,1310
2020-21,6,Crystal Palace,CRY,3,1090,1110,1030,1120,1010,1020
2020-21,7,Everton,EVE,3,1250,1130,1130,1100,1200,1140
2020-21,8,Fulham,FUL,3,1090,1100,1150,1110,1040,1060
2020-21,9,Leicester,LEI,4,1240,1260,1190,1150,1150,1230
2020-21,10,Leeds,LEE,3,1160,1170,1060,1150,1210,1170
2020-21,11,Liverpool,LIV,4,1250,1210,1190,1210,1300,1230
2020-21,12,Man City,MCI,5,1340,1360,1280,1320,1340,1350
2020-21,13,Man Utd,MUN,4,1250,1320,1250,1280,1240,1310
2020-21,14,Newcastle,NEW,2,1050,1070,1050,1060,1030,1110
2020-21,15,Sheffield Utd,SHU,2,1000,1040,1020,1070,1000,1010
2020-21,16,Southampton,SOU,3,1060,1100,1030,1110,1110,1160
2020-21,17,Spurs,TOT,4,1190,1250,1130,1170,1250,1290
2020-21,18,West Brom,WBA,2,1050,1040,1040,1000,1050,1040
2020-21,19,West Ham,WHU,4,1230,1260,1140,1190,1260,1290
2020-21,20,Wolves,WOL,3,1080,1110,1120,1130,1040,1120
